iteracao,sse
1,5445487.7831013715
2,3178287.1017512917
3,2793770.6067827255
4,2708176.4529172690
5,2693344.2898947722
6,2690959.0289348373
7,2690549.8900811160
8,2690477.2165562124
9,2690464.6330352807
10,2690462.0511686369
11,2690461.7438993570
12,2690461.6618789779
13,2690461.6291425535
14,2690461.6178917503
15,2690461.6143799210
16,2690461.6133744200
17,2690461.6133744200
